Company Name,Lat / Long,Street_Address,City,State_Parsed,ZIP_Parsed,Phone_Number,Title,Manager_Name,Email,Capacity,Category,CWTS_Flour_Mills
Pride Ag Resources,,103 Texcoco,Montezuma,KS,67867,(620) 846-2231; (800) 248-0287,Branch manager,John Wahl,jwahl@prideag.com,"2,316,000 bus up.",Grain,
Archer Daniels Midland Co.,,115 Bluff St.,Rhineland,MO,65069,(573) 236-4000,Manager,Nolan Fischer,,"450,000 bus up",Grain,
Archer Daniels Midland Co.,,320 Short St.,Montgomery City,MO,63361,(573) 564-2089,generqal manager,Nolan Fischer,,"597,035 bus up",Grain,
"Viterra Usa Grain, Llc",,2102 Waurika Freeway ,Wichita Falls,TX,76305,(940) 322-1174,Manager,Brian McCuiston,,"2,700,000 bus up",Grain,
Ardent Mills,,3750 Wynkoop ,Denver,CO,80216,(303) 294-0547,Plant manager,Brent Johnson,brent.johnson@ardentmills.com,"4,000 cwts",Flour mills,
Ardent Mills,,3750 Wynkoop ,Denver,CO,80216,(303) 294-0547,Plant manager,Brent Johnson,brent.johnson@ardentmills.com,,Specialty Mills,
The Birkett Mills,,1 E Main St,Penn Yan,NY,14527,(315) 536-3311,Branch manager,Jeff Gifford,contact@thebirkettmills.com,800 cwts,Flour mills,
The Birkett Mills,,1 E Main St,Penn Yan,NY,14527,(315) 536-3311,Branch manager,Jeff Gifford,contact@thebirkettmills.com,600 cwts,Specialty Mills,
The Birkett Mills,,1 E Main St,Penn Yan,NY,14527,(315) 536-3311,Branch manager,Jeff Gifford,contact@thebirkettmills.com,,Specialty Mills,
The Birkett Mills,,1 E Main St,Penn Yan,NY,14527,(315) 536-3311,Branch manager,Jeff Gifford,contact@thebirkettmills.com,,Mix Plants,
"Premier Cooperative, Inc.",,1 Main St,Dewey,IL,61840,(217) 897-1111,Regional operations manager,Jason Risley,,"5,688,000 bus up; 952,000 bus",Grain,
The Mennel Milling Co.,,1 W. Front St.,Logan,OH,43138,(740) 385-6824,Plant manager,Caleb Peck,sales@mennel.com,"8,600 cwts",Flour mills,
Archer Daniels Midland Co.,,10 Center St,Hume,IL,61932,(217) 887-2514,Superintendent,Nathaniel Pluger,,"1,052,384 bus up.",Grain,
Archer Daniels Midland Co.,,10 N. Teeter St.,Oakland,IL,61943,(217) 346-2141,Manager,Kenny Hadden,,"2,950,000 bus up.",Grain,
Archer Daniels Midland Co.,,10 Pitzman Ave.,Sauget,IL,62201,(618) 271-7860,Superintendent,Justin Potillo,,"320,000 bus up.",Grain,
Hansen-Mueller Co.,,100 24th Ave.,Council Bluffs,IA,51501,(712) 322-8264,,,,"864,000 bus up",Grain,
Corbion,,100 Adams Dr.,Totowa,NJ,7512,(973) 256-8886,,,milling@corbion.com,,Mix Plants,
Archer Daniels Midland Co.,,100 Broadway St.,Gulfport,IL,61425,(319) 753-2857,Manager,Dan Bowman,,"274,000 bus up.",Grain,
Archer Daniels Midland Co.,,100 Brunner St.,Peru,IL,61354,(815) 223-8000,Superintendent,Michael Hueser,,"87,000 bus up",Grain,
"Mgp Ingredients, Inc.",,"100 Commercial St., P.O. Box 130",Atchison,KS,66002,(913) 367-1480; (800) 255-0302,Inside Sales Manager,Linda Tuley,sales@mgpingredients.com,"750,000 bus up.",Grain,
"Mgp Ingredients, Inc.",,"100 Commercial St., P.O. Box 130",Atchison,KS,66002,(913) 367-1480,Inside sales manager,Linda Tuley,sales@mgpingredients.com,,Specialty Mills,
"Mgp Ingredients, Inc.",,"100 Commercial St., P.O. Box 130",Atchison,KS,66002,(913) 367-1480,Inside sales manager,Linda Tuley,sales@mgpingredients.com,,Specialty Mills,
"Cargill, Incorporated",,"100 E. Atchison, P.O. Box 238",Cunningham,KS,67035,(620) 298-3123,,,,"203,000 bus up",Grain,
Grain Craft,,100 E. First Ave.,Rome,GA,30161,(800) 334-4468,Manager,James Bryant,,"670,000 bus up.",Grain,
Grain Craft,,100 E. First Ave.,Rome,GA,30161,(706) 528-4738,Plant manager,James Bryant,,"5,000 cwts",Flour mills,
Grain Craft,,100 E. First Ave.,Rome,GA,30161,(706) 528-4738,Plant manager,James Bryant,,,Specialty Mills,
"Attebury Grain, Inc. (Burkburnett)",,"100 E. Second, P.O. Box 938",Burkburnett,TX,76354,(940) 733-2733,,,opsassistant@attebury.com,"1,098,000 bus up",Grain,
Adm Benson Quinn,,100 Elevator Ave.,Rogers,ND,58479,(701) 646-6000,Manager,Justin Sorby,,"3,500,000 bus up",Grain,
"Columbia Grain International, Llc",,100 Elevator Ave.,Rogers,ND,58479,(701) 829-0706,manager,Calvin Diehl,jsorby@columbiagrain.com,"4,666,000.00",Grain,
Archer Daniels Midland Co.,,"100 Front St., P.O. Box 287",Macon,IL,62544,(217) 764-3345,Manager,Mike Coers,,"3,334,032 bus up.",Grain,
Manildra Milling Corp.,,100 George St.,Hamburg,IA,51640,(913) 362-0777,President,Neal Bassi,sales@manildrausa.com,,Specialty Mills,
Manildra Milling Corp.,,100 George St.,Hamburg,IA,51640,(913) 362-0777,President,Neal Bassi,sales@manildrausa.com,,Specialty Mills,
Ardent Mills,,100 Grain St.,Albany,NY,12201,(518) 465-2120,Plant Manager,Sean Gager,sean.gager@ardentmills.com,"4,500,000 bus up",Grain,
The Krusteaz Co.,,100 Krusteaz Way,Hopkinsville,KY,42266,(270) 475-5100,"Sr. VP, operations",Mike Meredith,,,Flour mills,
The Krusteaz Co.,,100 Krusteaz Way,Hopkinsville,KY,42266,(270) 475-5100,"Sr. VP, operations",Mike Meredith,,,Mix Plants,
"New Cooperative, Inc.",,100 N. Hood St.,Clare,IA,50524,(515) 417-6363,manager,Robert Slinker,clare@newcoop.com,"3,212,000 bus up; 3,133,000 bus fl.",Grain,
Landus Cooperative,,"100 Railway St., P.O. Box 308",Bayard,IA,50029,(712) 651-2081,regional manager,Ethan Taube,,"2,495,000 bus up; 976,000 bus fl.",Grain,
