business_name,business_phone,email_1,email_2,business_website,sub_types,street,city,state,postal_code,facebook,linkedin
Consolidated Grain and Barge Co.,+1 573-675-3433,info@cgbgrain.com,cgbgrainsupport@cgb.com,http://www.cgbgrain.com/,Grain elevator,6720 N Hwy K,Charleston,Missouri,63834.0,https://www.facebook.com/cgbgrain,https://www.linkedin.com/company/151628
Barnesville Elevator,+1 218-354-2134,,,,Grain elevator,111 2nd Ave NE,Barnesville,Minnesota,56514.0,,
Grainland Co-Op,+1 309-467-2355,dtyler@grainlandcooperative.com,jgrilli@grainlandcooperative.com,https://www.grainlandcooperative.com/,Grain elevator,927 County Hwy 3,Eureka,Illinois,61530,https://www.facebook.com/106959101711836,https://www.linkedin.com/company/grainland-cooperative
Farmers Elevator Associates,+1 419-395-1557,sales@thefarmerselevator.com,d.mangas@thefarmerselevator.com,https://www.thefarmerselevator.com/,Grain elevator,18873 Co Rd H,Holgate,Ohio,43527,https://www.facebook.com/139158016131433,http://www.linkedin.com/company/8995953
Lake Phelps Grain,+1 252-792-6516,,,,Grain elevator,1188 Cargill Rd,Williamston,North Carolina,27892,,
Olson Grain,+1 608-884-8348,,,,Grain elevator,34 US-51,Edgerton,Wisconsin,53534,,
Latty Grain,+1 419-399-4603,,,,Grain elevator,7506 US-127,Paulding,Ohio,45879,,
Mercer Landmark - Latty Grain Elevator,+1 419-567-6322,jerry@mercerlandmark.com,norm.c@mercerlandmark.com,http://mercerlandmark.com/,Grain elevator,14260 OH-613,Paulding,Ohio,45879,http://www.facebook.com/MercerLandmark,http://www.linkedin.com/company/5931307
Mercer Landmark - Latty Agronomy,+1 419-567-6322,jerry@mercerlandmark.com,norm.c@mercerlandmark.com,http://mercerlandmark.com/,Grain elevator,14170 OH-613,Paulding,Ohio,45879,http://www.facebook.com/MercerLandmark,http://www.linkedin.com/company/5931307
Albert Lea Elevator Co,+1 507-373-3133,,,,Grain elevator,1301 W 9th St,Albert Lea,Minnesota,56007,,
"Creston FS GRAIN, LLC",+1 815-384-4011,brrader@fsgrain.com,,http://www.fsgrain.com/,Grain elevator,IL-38,Rochelle,Illinois,61068,,
Viterra,+1 309-315-7070,ryan.eckstein@viterra.com,jay.priefert@viterra.com,https://viterra.us/,Grain elevator,75 Maple Ave,Galesburg,Illinois,61401,https://www.facebook.com/ViterraUS/,
Consolidated Grain & Barge,+1 618-395-7356,info@cgbgrain.com,cgbgrainsupport@cgb.com,http://www.cgbgrain.com/,Grain elevator,3854 IL-130,Olney,Illinois,62450,https://www.facebook.com/cgbgrain,https://www.linkedin.com/company/151628
ADM Mendota (Elevator),+1 815-539-7491,suzanne.richardson@sharpspring.com,,https://admadvantage.com/contact-us/?location=Mendota~Illinois_(ELEVATOR),Grain elevator,110 E 12th St,Mendota,Illinois,61342,https://www.facebook.com/ADMFarmerServices/,
Graymont Cooperative Associates,+1 815-358-2222,,,,Grain elevator,309 Main St,Cornell,Illinois,61319.0,,
Stokes Mayberry Grain,+1 573-276-2861,,,,Grain elevator,310 S Marion St,Malden,Missouri,63863,,
Ceres Solutions - Fremont,+1 231-924-3852,info@ceres.coop,credit@ceres.coop,http://ceres.coop/,"Grain elevator, Agricultural cooperative",720 W Main St,Fremont,Michigan,49412,https://www.facebook.com/Ceres-Solutions-Cooperative-Inc-112695575433948/,http://www.linkedin.com/company/2950977
Bab Grain,+1 217-438-3316,greg@babgrain.com,office@babgrain.com,http://www.babgrain.com/,Grain elevator,14273 Bab Rd,Auburn,Illinois,62615,,
Star of the West Milling Co.,+1 810-327-1333,ryan.green@starofthewest.com,debbie.lackowski@starofthewest.com,https://www.starofthewest.com/,Grain elevator,7863 Babcock Rd,Jeddo,Michigan,48032,https://www.facebook.com/Star-of-the-West-Milling-Company-66596276711/,https://www.linkedin.com/company/star-of-the-west-milling-co
Mid Kansas Coop wild horse,,kwhitehair@mkcoop.com,wswartz@mkcoop.com,http://mkcoop.com/,Grain elevator,3945-3999 Ontario St,Plains,Kansas,67869,https://www.facebook.com/pages/Mid-Kansas-Cooperative/258505330862882,https://www.linkedin.com/company/mid-kansas-coop
GMC Grain,+1 910-653-2748,,,,Grain elevator,1160 Willoughby Rd,Tabor City,North Carolina,28463,,
Burlington Cooperative,+1 620-364-8061,,,,Grain elevator,1202 Neosho St,Burlington,Kansas,66839,,
Wolfe-Reece & Lynch Inc.,+1 336-367-7121,roger@wrlgrain.com,wilson@wrlgrain.com,http://www.wrlgrain.com/,"Grain elevator, Hardware store",107 Mill St,Boonville,North Carolina,27011,,
Scott Equity Exchange,+1 419-238-1515,cthatcher@scottequityexchange.com,jon.etzler@scottequityexchange.com,http://www.scottequityexchange.com/,Grain elevator,308 Bonnewitz Ave,Van Wert,Ohio,45891,https://www.facebook.com/162345470460148,
Adm Grain,+1 309-543-2267,,,http://www.facebook.com/pages/Adm-Grain-Co/123658327683062,Grain elevator,822 W Tinkham St,Havana,Illinois,62644,,
Roggen Farmers Elevator Assn.,+1 303-849-5506,ssteinbar@roggenfarmerselev.com,schauhan@roggenfarmerselev.com,https://www.roggenfarmerselev.com/,Grain elevator,36402 County Rd 24 1/2,Roggen,Colorado,80652,https://facebook.com/roggenelevator,http://www.linkedin.com/company/4016512
Star of the West Milling Co.,+1 989-269-7957,ryan.green@starofthewest.com,debbie.lackowski@starofthewest.com,https://www.starofthewest.com/,"Grain elevator, Agricultural service",2222 Verona Rd,Bad Axe,Michigan,48413,https://www.facebook.com/Star-of-the-West-Milling-Company-66596276711/,https://www.linkedin.com/company/star-of-the-west-milling-co
ADM Edible Bean Specialties Inc - Kinde,+1 989-874-4720,,,,Grain elevator,4950 Railroad St,Kinde,Michigan,48445,,
