Company Name,Category,Street_Address,City,State_Parsed,ZIP_Parsed,Lat / Long,Capacity
Pride Ag Resources,Grain,103 Texcoco,Montezuma,KS,67867,,"2,316,000 bus up."
Archer Daniels Midland Co.,Grain,115 Bluff St.,Rhineland,MO,65069,,"450,000 bus up"
Archer Daniels Midland Co.,Grain,320 Short St.,Montgomery City,MO,63361,,"597,035 bus up"
"Viterra Usa Grain, Llc",Grain,2102 Waurika Freeway ,Wichita Falls,TX,76305,,"2,700,000 bus up"
Ardent Mills,Flour mills,3750 Wynkoop ,Denver,CO,80216,,"4,000 cwts"
Ardent Mills,Specialty Mills,3750 Wynkoop ,Denver,CO,80216,,
The Birkett Mills,Flour mills,1 E Main St,Penn Yan,NY,14527,,800 cwts
The Birkett Mills,Specialty Mills,1 E Main St,Penn Yan,NY,14527,,600 cwts
The Birkett Mills,Specialty Mills,1 E Main St,Penn Yan,NY,14527,,
The Birkett Mills,Mix Plants,1 E Main St,Penn Yan,NY,14527,,
"Premier Cooperative, Inc.",Grain,1 Main St,Dewey,IL,61840,,"5,688,000 bus up; 952,000 bus"
The Mennel Milling Co.,Flour mills,1 W. Front St.,Logan,OH,43138,,"8,600 cwts"
Archer Daniels Midland Co.,Grain,10 Center St,Hume,IL,61932,,"1,052,384 bus up."
Archer Daniels Midland Co.,Grain,10 N. Teeter St.,Oakland,IL,61943,,"2,950,000 bus up."
Archer Daniels Midland Co.,Grain,10 Pitzman Ave.,Sauget,IL,62201,,"320,000 bus up."
Hansen-Mueller Co.,Grain,100 24th Ave.,Council Bluffs,IA,51501,,"864,000 bus up"
Corbion,Mix Plants,100 Adams Dr.,Totowa,NJ,7512,,
Archer Daniels Midland Co.,Grain,100 Broadway St.,Gulfport,IL,61425,,"274,000 bus up."
Archer Daniels Midland Co.,Grain,100 Brunner St.,Peru,IL,61354,,"87,000 bus up"
"Mgp Ingredients, Inc.",Grain,"100 Commercial St., P.O. Box 130",Atchison,KS,66002,,"750,000 bus up."
"Mgp Ingredients, Inc.",Specialty Mills,"100 Commercial St., P.O. Box 130",Atchison,KS,66002,,
"Mgp Ingredients, Inc.",Specialty Mills,"100 Commercial St., P.O. Box 130",Atchison,KS,66002,,
"Cargill, Incorporated",Grain,"100 E. Atchison, P.O. Box 238",Cunningham,KS,67035,,"203,000 bus up"
Grain Craft,Grain,100 E. First Ave.,Rome,GA,30161,,"670,000 bus up."
