Company,City,State,Region,Type
Fumigation Service & Supply (FSS),Eldridge,IA,Midwest,Grain/export specialist
Industrial Fumigant Company (IFC),Kansas City,MO,Nationwide,Major commodity fumigation
Triton Fumigation,Decatur,IL,Midwest,Railcars/barges/bins
FUMECO,Yuba City,CA,West,Storage + grain
Schoen Fumigation,Fresno,CA,West,Bulk grain
Poppe Enterprises,McCook,NE,Midwest,Bins + farms
Western Fumigation,Los Angeles,CA,West,Port + structural
Presto-X (Rentokil),Omaha,NE,Nationwide,Commercial + grain
Ecolab Fumigation,St. Paul,MN,Nationwide,Enterprise accounts
TriCal Group,Hollister,CA,West,Ag + fumigation
Insects Limited,Westfield,IN,Midwest,IPM + fumigation
StoredTech,Brookings,SD,Midwest,Monitoring + fumigation adj
Grain Guard,Winnipeg,MB,North America,Storage + fumigation adj
Degesch Service Network,Weyers Cave,VA,Nationwide,Phosphine service support
Douglas Products Service,Liberty,MO,Nationwide,ProFume services
National Fumigators,Houston,TX,Gulf Coast,Port/export
Gulf Coast Fumigation,Houston,TX,Gulf,Export terminals
Delta Fumigation,Memphis,TN,Mississippi River,River elevators
Midwest Fumigation Services,Peoria,IL,Midwest,River + rail grain
Great Plains Fumigation,Wichita,KS,Plains,Elevators + bins
Heartland Fumigation,Des Moines,IA,Midwest,Co-ops + grain
Prairie Fumigation,Fargo,ND,Northern Plains,Rail grain hubs
Dakota Fumigation,Sioux Falls,SD,Plains,Storage + bins
Arkansas River Fumigation,Little Rock,AR,South,River terminals
Ohio Valley Fumigation,Louisville,KY,Ohio River,River elevators
River City Fumigation,St. Louis,MO,Midwest,Mississippi corridor
AgriFume Services,Amarillo,TX,Texas Panhandle,Rail grain
Panhandle Fumigation,Lubbock,TX,Texas,Storage + bins
Coastal Fumigation Services,Savannah,GA,Southeast,Port grain
Atlantic Fumigation,Norfolk,VA,East Coast,Export terminals
Carolina Fumigation,Wilmington,NC,Southeast,Port + storage
Florida Ag Fumigation,Tampa,FL,Southeast,Storage + terminals
Pacific Grain Fumigation,Portland,OR,PNW,Export grain
Columbia River Fumigation,Kennewick,WA,PNW,River terminals
Inland Northwest Fumigation,Spokane,WA,PNW,Rail grain
California Valley Fumigation,Modesto,CA,West,Grain + almonds
Central Valley Fumigation,Fresno,CA,West,Storage + bins
Rocky Mountain Fumigation,Denver,CO,Mountain,Rail + storage
Mountain West Fumigation,Boise,ID,West,Grain storage
Utah Grain Fumigation,Salt Lake City,UT,West,Rail terminals
Nevada Ag Fumigation,Reno,NV,West,Storage
Arizona Grain Fumigation,Phoenix,AZ,Southwest,Storage
New Mexico Fumigation,Albuquerque,NM,Southwest,Storage
Upper Midwest Fumigation,Minneapolis,MN,Midwest,River + rail
Wisconsin Grain Fumigation,La Crosse,WI,Midwest,River elevators
Michigan Ag Fumigation,Grand Rapids,MI,Midwest,Storage
Ontario Grain Fumigation,Guelph,ON,Canada,Grain storage
Quebec Fumigation Services,Montreal,QC,Canada,Port grain
Prairie Fumigation Services,Fargo,ND,Northern Plains,Grain elevators + rail hubs
Dakota Pest & Fumigation,Bismarck,ND,Northern Plains,Storage + bins
Red River Fumigation,Grand Forks,ND,Northern Plains,Rail + river grain
Northern Ag Fumigation,Minot,ND,Northern Plains,Elevators + co-ops
Kansas Grain Fumigation,Wichita,KS,Central Plains,Rail shuttle loaders
Sunflower Fumigation,Salina,KS,Central Plains,Grain storage + terminals
Heartland Pest & Fumigation,Hutchinson,KS,Central Plains,Elevators + bins
Mid-Kansas Fumigation,Great Bend,KS,Central Plains,Co-ops + grain
Western Kansas Fumigation,Garden City,KS,Central Plains,Large grain storage
Montana Grain Fumigation,Billings,MT,Northern Rockies,Rail export grain
Big Sky Fumigation,Bozeman,MT,Northern Rockies,Storage + bins
High Plains Fumigation,Great Falls,MT,Northern Rockies,Elevators + rail
Frontier Fumigation,Havre,MT,Northern Rockies,Grain terminals
Eastern Montana Fumigation,Glendive,MT,Northern Rockies,Storage + co-ops
