State,County,"INVENTORY OF HOGS: (1,000 OR MORE HEAD)"
ALABAMA,SUMTER,1
ALABAMA,CHEROKEE,1
ALABAMA,DE KALB,1
ALABAMA,PICKENS,1
ARIZONA,NAVAJO,1
ARIZONA,PIMA,1
ARKANSAS,CONWAY,4
ARKANSAS,IZARD,1
ARKANSAS,BENTON,1
ARKANSAS,WASHINGTON,2
ARKANSAS,HEMPSTEAD,3
ARKANSAS,HOWARD,4
ARKANSAS,PIKE,2
ARKANSAS,SEVIER,4
ARKANSAS,POLK,1
ARKANSAS,POPE,3
ARKANSAS,YELL,2
CALIFORNIA,BUTTE,1
CALIFORNIA,FRESNO,1
CALIFORNIA,STANISLAUS,2
CALIFORNIA,TULARE,1
CALIFORNIA,SAN DIEGO,1
COLORADO,ADAMS,1
COLORADO,KIOWA,1
COLORADO,KIT CARSON,1
COLORADO,PHILLIPS,1
COLORADO,WASHINGTON,1
COLORADO,YUMA,2
COLORADO,LOGAN,1
COLORADO,SEDGWICK,1
COLORADO,BENT,1
COLORADO,PROWERS,2
GEORGIA,CANDLER,2
GEORGIA,HART,1
GEORGIA,OGLETHORPE,2
GEORGIA,BERRIEN,1
GEORGIA,BROOKS,1
GEORGIA,COFFEE,2
GEORGIA,TATTNALL,1
GEORGIA,CLAY,1
IDAHO,LATAH,1
IDAHO,CASSIA,1
IDAHO,ADA,1
ILLINOIS,LOGAN,12
ILLINOIS,MACON,1
ILLINOIS,MASON,1
ILLINOIS,MCLEAN,11
ILLINOIS,MENARD,1
ILLINOIS,PEORIA,3
ILLINOIS,STARK,3
ILLINOIS,TAZEWELL,10
ILLINOIS,WOODFORD,16
ILLINOIS,CHAMPAIGN,5
ILLINOIS,FORD,6
ILLINOIS,IROQUOIS,10
ILLINOIS,KANKAKEE,1
ILLINOIS,LIVINGSTON,26
ILLINOIS,VERMILION,5
ILLINOIS,CLARK,10
ILLINOIS,CLAY,8
ILLINOIS,COLES,7
ILLINOIS,CRAWFORD,1
ILLINOIS,CUMBERLAND,7
ILLINOIS,EDGAR,1
ILLINOIS,EFFINGHAM,19
ILLINOIS,FAYETTE,3
ILLINOIS,JASPER,18
ILLINOIS,LAWRENCE,11
ILLINOIS,MOULTRIE,1
ILLINOIS,RICHLAND,8
ILLINOIS,SHELBY,9
ILLINOIS,BOONE,3
ILLINOIS,DE KALB,30
ILLINOIS,KANE,3
ILLINOIS,LA SALLE,1
ILLINOIS,MCHENRY,4
ILLINOIS,WILL,3
ILLINOIS,BUREAU,10
ILLINOIS,CARROLL,10
ILLINOIS,HENRY,14
ILLINOIS,JO DAVIESS,1
ILLINOIS,LEE,7
ILLINOIS,MERCER,20
ILLINOIS,OGLE,18
ILLINOIS,PUTNAM,2
ILLINOIS,ROCK ISLAND,5
ILLINOIS,STEPHENSON,12
ILLINOIS,WHITESIDE,18
ILLINOIS,WINNEBAGO,1
ILLINOIS,EDWARDS,4
ILLINOIS,FRANKLIN,5
ILLINOIS,JEFFERSON,3
ILLINOIS,SALINE,10
ILLINOIS,WAYNE,8
ILLINOIS,WHITE,1
ILLINOIS,CLINTON,10
ILLINOIS,MONROE,2
ILLINOIS,RANDOLPH,1
ILLINOIS,ST CLAIR,1
ILLINOIS,WASHINGTON,12
ILLINOIS,ADAMS,26
ILLINOIS,BROWN,2
ILLINOIS,FULTON,6
ILLINOIS,HANCOCK,17
ILLINOIS,HENDERSON,7
ILLINOIS,KNOX,17
ILLINOIS,MCDONOUGH,9
ILLINOIS,SCHUYLER,4
ILLINOIS,WARREN,10
ILLINOIS,CALHOUN,2
ILLINOIS,CASS,5
ILLINOIS,CHRISTIAN,7
ILLINOIS,GREENE,4
ILLINOIS,MACOUPIN,9
ILLINOIS,MADISON,1
ILLINOIS,MONTGOMERY,15
ILLINOIS,MORGAN,4
ILLINOIS,PIKE,16
ILLINOIS,SANGAMON,4
ILLINOIS,SCOTT,2
INDIANA,BARTHOLOMEW,7
INDIANA,BOONE,3
INDIANA,CLINTON,17
INDIANA,DECATUR,22
INDIANA,GRANT,6
INDIANA,HANCOCK,12
INDIANA,HENDRICKS,4
INDIANA,HOWARD,3
INDIANA,MORGAN,2
INDIANA,RUSH,14
INDIANA,SHELBY,2
INDIANA,TIPTON,9
INDIANA,BLACKFORD,5
INDIANA,DELAWARE,3
INDIANA,HENRY,4
INDIANA,JAY,44
INDIANA,RANDOLPH,26
INDIANA,UNION,2
INDIANA,WAYNE,3
INDIANA,CARROLL,35
INDIANA,CASS,12
INDIANA,ELKHART,22
INDIANA,FULTON,7
INDIANA,KOSCIUSKO,17
INDIANA,MARSHALL,4
INDIANA,MIAMI,23
INDIANA,ST. JOSEPH,4
INDIANA,WABASH,24
INDIANA,ADAMS,25
INDIANA,ALLEN,7
INDIANA,HUNTINGTON,8
INDIANA,LAGRANGE,19
INDIANA,NOBLE,10
INDIANA,STEUBEN,2
INDIANA,WELLS,24
INDIANA,WHITLEY,19
INDIANA,JASPER,17
INDIANA,LA PORTE,4
INDIANA,NEWTON,5
INDIANA,PULASKI,7
INDIANA,STARKE,2
INDIANA,WHITE,27
INDIANA,CRAWFORD,4
INDIANA,JACKSON,9
INDIANA,ORANGE,1
INDIANA,PERRY,3
INDIANA,WASHINGTON,3
INDIANA,FRANKLIN,6
INDIANA,JENNINGS,2
INDIANA,RIPLEY,7
INDIANA,SCOTT,1
INDIANA,DAVIESS,9
INDIANA,DUBOIS,9
INDIANA,GIBSON,6
INDIANA,GREENE,3
INDIANA,KNOX,7
INDIANA,MARTIN,6
INDIANA,PIKE,3
INDIANA,POSEY,3
INDIANA,SPENCER,4
INDIANA,WARRICK,1
INDIANA,FOUNTAIN,2
INDIANA,MONTGOMERY,2
INDIANA,PUTNAM,6
INDIANA,TIPPECANOE,7
INDIANA,VERMILLION,1
INDIANA,WARREN,1
IOWA,BOONE,17
IOWA,DALLAS,5
IOWA,GRUNDY,34
IOWA,HAMILTON,60
IOWA,HARDIN,72
IOWA,JASPER,36
IOWA,MARSHALL,25
IOWA,POLK,1
IOWA,POWESHIEK,12
IOWA,STORY,21
IOWA,TAMA,31
IOWA,WEBSTER,32
IOWA,BENTON,15
IOWA,CEDAR,40
IOWA,CLINTON,29
IOWA,IOWA,20
IOWA,JACKSON,17
IOWA,JOHNSON,38
IOWA,JONES,19
IOWA,LINN,13
IOWA,MUSCATINE,24
IOWA,SCOTT,10
IOWA,BUTLER,39
IOWA,CERRO GORDO,18
IOWA,FLOYD,30
IOWA,FRANKLIN,66
IOWA,HANCOCK,53
IOWA,HUMBOLDT,21
IOWA,KOSSUTH,97
IOWA,MITCHELL,34
IOWA,WINNEBAGO,19
IOWA,WORTH,11
IOWA,WRIGHT,21
IOWA,ALLAMAKEE,18
IOWA,BLACK HAWK,46
IOWA,BREMER,43
IOWA,BUCHANAN,55
IOWA,CHICKASAW,33
IOWA,CLAYTON,35
IOWA,DELAWARE,106
IOWA,DUBUQUE,31
IOWA,FAYETTE,29
IOWA,HOWARD,34
IOWA,WINNESHIEK,32
IOWA,BUENA VISTA,75
IOWA,CHEROKEE,47
IOWA,CLAY,33
IOWA,DICKINSON,13
IOWA,EMMET,21
IOWA,LYON,207
IOWA,O BRIEN,140
IOWA,OSCEOLA,81
IOWA,PALO ALTO,67
IOWA,PLYMOUTH,153
IOWA,POCAHONTAS,22
IOWA,SIOUX,286
IOWA,CLARKE,3
IOWA,DECATUR,6
IOWA,LUCAS,3
IOWA,MADISON,8
IOWA,MARION,6
IOWA,MONROE,1
IOWA,RINGGOLD,7
IOWA,UNION,6
IOWA,WARREN,1
IOWA,WAYNE,2
IOWA,DAVIS,8
IOWA,DES MOINES,13
IOWA,HENRY,29
IOWA,JEFFERSON,14
IOWA,KEOKUK,35
IOWA,LEE,16
IOWA,LOUISA,36
IOWA,MAHASKA,56
IOWA,VAN BUREN,14
IOWA,WAPELLO,12
IOWA,WASHINGTON,142
IOWA,ADAIR,8
IOWA,ADAMS,10
IOWA,CASS,7
IOWA,FREMONT,1
IOWA,MONTGOMERY,5
IOWA,PAGE,4
IOWA,POTTAWATTAMIE,19
IOWA,TAYLOR,5
IOWA,AUDUBON,35
IOWA,CALHOUN,44
IOWA,CARROLL,74
IOWA,CRAWFORD,48
IOWA,GREENE,36
IOWA,GUTHRIE,27
IOWA,HARRISON,5
IOWA,IDA,5
IOWA,MONONA,3
IOWA,SAC,45
IOWA,SHELBY,23
IOWA,WOODBURY,6
KANSAS,BARTON,3
KANSAS,MARION,14
KANSAS,MCPHERSON,12
KANSAS,RICE,1
KANSAS,RUSH,1
KANSAS,FRANKLIN,3
KANSAS,GEARY,4
KANSAS,WABAUNSEE,1
KANSAS,CLAY,7
KANSAS,MITCHELL,1
KANSAS,PHILLIPS,4
KANSAS,WASHINGTON,7
KANSAS,BROWN,4
KANSAS,JACKSON,2
KANSAS,MARSHALL,3
KANSAS,NEMAHA,18
KANSAS,POTTAWATOMIE,1
KANSAS,RILEY,1
KANSAS,NORTON,1
KANSAS,HARVEY,6
KANSAS,PRATT,2
KANSAS,RENO,2
KANSAS,STAFFORD,1
KANSAS,BUTLER,4
KANSAS,MONTGOMERY,1
KANSAS,GRANT,2
KANSAS,GRAY,1
KANSAS,KEARNY,1
KANSAS,MORTON,2
KANSAS,STANTON,1
KANSAS,STEVENS,1
KANSAS,GREELEY,1
KANSAS,SCOTT,2
KANSAS,WALLACE,1
KANSAS,WICHITA,1
KENTUCKY,ALLEN,1
KENTUCKY,HARDIN,5
KENTUCKY,MARION,1
KENTUCKY,WARREN,3
KENTUCKY,DAVIESS,1
KENTUCKY,HOPKINS,1
KENTUCKY,LOGAN,1
KENTUCKY,MUHLENBERG,2
KENTUCKY,TODD,5
KENTUCKY,CALLOWAY,1
KENTUCKY,CARLISLE,2
KENTUCKY,FULTON,2
KENTUCKY,GRAVES,4
KENTUCKY,HICKMAN,5
KENTUCKY,MARSHALL,2
MARYLAND,FREDERICK,1
MARYLAND,WASHINGTON,1
MARYLAND,CECIL,1
MARYLAND,KENT,1
MASSACHUSETTS,HAMPSHIRE,1
MICHIGAN,GRATIOT,7
MICHIGAN,MECOSTA,5
MICHIGAN,MIDLAND,2
MICHIGAN,MONTCALM,10
MICHIGAN,OSCEOLA,3
MICHIGAN,HURON,14
MICHIGAN,SAGINAW,2
MICHIGAN,SANILAC,1
MICHIGAN,TUSCOLA,3
MICHIGAN,GRAND TRAVERSE,4
MICHIGAN,BRANCH,12
MICHIGAN,CALHOUN,2
MICHIGAN,CLINTON,4
MICHIGAN,HILLSDALE,4
MICHIGAN,IONIA,10
MICHIGAN,ST JOSEPH,7
MICHIGAN,LENAWEE,1
MICHIGAN,ALLEGAN,25
