Feed Manufacturers,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,,,,
"Nutrition 101, LLC",4782 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,34.3326069,-84.9002354,,,,,,,,,,,,,,,
"Nutrition 101, LLC",4782 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,34.3326069,-84.9002354,,,,,,,,,,,,,,,
The Quilted Barn,32673 Fern Rd,Corvallis,Oregon,97333,44.52506,-123.3674771,,,,,,,,,,,,,,,
"Nutrition 101, LLC",8201 S Palo Verde Rd,Buckeye,Arizona,85326,33.3723705,-112.6765484,,,,,,,,,,,,,,,
JDH,1680 US-60,Friona,Texas,79035,34.6191196,-102.7471953,,,,,,,,,,,,,,,
Quincy Farm Products,3501 Wismann Ln,Quincy,Illinois,62301,39.9577259,-91.3615527,,,,,,,,,,,,,,,
ADM Quincy,2100 Gardner Expy,Quincy,Illinois,62301,39.9064367,-91.4088825,,,,,,,,,,,,,,,
Livestock Nutrition Center,507 E Nelson St,Quanah,Texas,79252,34.3020134,-99.7313063,,,,,,,,,,,,,,,
"QLF, Inc.",947 E Earl Rd,New Holland,Pennsylvania,17557,40.1084438,-76.0583357,,,,,,,,,,,,,,,
"Nutrition 101, LLC",400 Stewart Rd,Wilkes-Barre,Pennsylvania,18706,41.2127217,-75.9160548,,,,,,,,,,,,,,,
Ridley Block Operations,5100 Blue Mound Rd,Fort Worth,Texas,76106,32.83174,-97.3425028,,,,,,,,,,,,,,,
Grow Masters Deer Mineral,,,,,35.232314,-91.730999,,,,,,,,,,,,,,,
Murillos Feed,,,,,35.8918955,-119.2725935,,,,,,,,,,,,,,,
Thunder Mountain Equine,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Mar Jac Feed Mill,Sheffield Ave,Spruce Pine,Alabama,35585,34.3955639,-87.7257147,,,,,,,,,,,,,,,
JDH,139 River Vista Pl #102,Twin Falls,Idaho,83301,42.5984752,-114.4784997,,,,,,,,,,,,,,,
Nichols Farms,,Cimarron,Kansas,67835,37.7802301,-100.2603722,,,,,,,,,,,,,,,
Lucerne Farms Inc,40 Eastonline Rd,Fort Fairfield,Maine,4742,46.6881537,-67.8833213,,,,,,,,,,,,,,,
J.D. Heiskell & Co.,1910 S Roosevelt Rd L,Rogers,New Mexico,88132,33.9798312,-103.2311043,,,,,,,,,,,,,,,
DFS Main Office / Billing,,Oskaloosa,Iowa,52577,41.2701533,-92.6051317,,,,,,,,,,,,,,,
Gold Star,1 Richer Drive,Adams Center,New York,13606,43.8600378,-76.009806,,,,,,,,,,,,,,,
Leland Mills TX,6320 E Stassney Ln bldg 2 ste 275,Austin,Texas,78744,30.2044509,-97.7208469,,,,,,,,,,,,,,,
"Cold Water Technologies, Inc.",,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Modesto Milling Inc.,142 Linley Ave,Empire,California,95319,37.6372072,-120.9049732,,,,,,,,,,,,,,,
Cargill Turkey Feed Mill,,California,Missouri,65018,38.6303606,-92.5476421,,,,,,,,,,,,,,,
Livestock Nutrition Center,601 Old Mill Rd,Altus,Oklahoma,73521,34.629563,-99.3400868,,,,,,,,,,,,,,,
TOMiGAi,4460 Brooks St Ste B,Montclair,California,91763,34.0620508,-117.7079675,,,,,,,,,,,,,,,
Perdue AgriBusiness - Ansonville Protein Blending Plant,2755 Old US Highway 52 W,Ansonville,North Carolina,28007,35.1855049,-80.120079,,,,,,,,,,,,,,,
AG Fibers LLC,1301 Ennis Rd,Dothan,Alabama,36303,31.2279862,-85.3439391,,,,,,,,,,,,,,,
