Grain Elevators,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,
Consolidated Grain and Barge Co.,6720 N Hwy K,Charleston,Missouri,63834,36.9208854,-89.350631,,,,,,,,,,,,
Barnesville Elevator,111 2nd Ave NE,Barnesville,Minnesota,56514,46.6538485,-96.4210866,,,,,,,,,,,,
Grainland Co-Op,927 County Hwy 3,Eureka,Illinois,61530,40.7232439,-89.3103839,,,,,,,,,,,,
Farmers Elevator Associates,18873 Co Rd H,Holgate,Ohio,43527,41.2672157,-84.2236785,,,,,,,,,,,,
Lake Phelps Grain,1188 Cargill Rd,Williamston,North Carolina,27892,35.8467181,-77.0845755,,,,,,,,,,,,
Olson Grain,34 US-51,Edgerton,Wisconsin,53534,42.8510613,-89.0569848,,,,,,,,,,,,
Latty Grain,7506 US-127,Paulding,Ohio,45879,41.0851046,-84.5725096,,,,,,,,,,,,
Mercer Landmark - Latty Grain Elevator,14260 OH-613,Paulding,Ohio,45879,41.091693,-84.5487927,,,,,,,,,,,,
Mercer Landmark - Latty Agronomy,14170 OH-613,Paulding,Ohio,45879,41.090003,-84.55067,,,,,,,,,,,,
Albert Lea Elevator Co,1301 W 9th St,Albert Lea,Minnesota,56007,43.6318132,-93.3847308,,,,,,,,,,,,
"Creston FS GRAIN, LLC",IL-38,Rochelle,Illinois,61068,41.9359152,-88.9697741,,,,,,,,,,,,
Viterra,75 Maple Ave,Galesburg,Illinois,61401,40.9484652,-90.378385,,,,,,,,,,,,
Consolidated Grain & Barge,3854 IL-130,Olney,Illinois,62450,38.7101766,-88.0872789,,,,,,,,,,,,
Tri state crush,302 S Main St,Nappanee,Indiana,46550,41.440754,-86.0017175,,,,,,,,,,,,
ADM Mendota (Elevator),110 E 12th St,Mendota,Illinois,61342,41.555224,-89.1034059,,,,,,,,,,,,
Graymont Cooperative Associates,309 Main St,Cornell,Illinois,61319,40.9892087,-88.7315319,,,,,,,,,,,,
Stokes Mayberry Grain,310 S Marion St,Malden,Missouri,63863,36.5548717,-89.9689571,,,,,,,,,,,,
Ceres Solutions - Fremont,720 W Main St,Fremont,Michigan,49412,43.4667344,-85.9582751,,,,,,,,,,,,
Bab Grain,14273 Bab Rd,Auburn,Illinois,62615,39.5917603,-89.7141522,,,,,,,,,,,,
Star of the West Milling Co.,7863 Babcock Rd,Jeddo,Michigan,48032,43.1348564,-82.5430913,,,,,,,,,,,,
Mid Kansas Coop wild horse,3945-3999 Ontario St,Plains,Kansas,67869,37.431296,-100.5998462,,,,,,,,,,,,
Homer Feed & Grain,907 S Byron St,Homer,Michigan,49245,42.138128,-84.802506,,,,,,,,,,,,
GMC Grain,1160 Willoughby Rd,Tabor City,North Carolina,28463,34.1659795,-78.8762933,,,,,,,,,,,,
Burlington Cooperative,1202 Neosho St,Burlington,Kansas,66839,38.1949586,-95.7509348,,,,,,,,,,,,
Wolfe-Reece & Lynch Inc.,107 Mill St,Boonville,North Carolina,27011,36.2320691,-80.7060647,,,,,,,,,,,,
Scott Equity Exchange,308 Bonnewitz Ave,Van Wert,Ohio,45891,40.8806864,-84.5872177,,,,,,,,,,,,
Adm Grain,822 W Tinkham St,Havana,Illinois,62644,40.2896964,-90.0718304,,,,,,,,,,,,
ADM,13849-13863 IL-78,Havana,Illinois,62644,40.2573972,-90.0845746,,,,,,,,,,,,
Roggen Farmers Elevator Assn.,36402 County Rd 24 1/2,Roggen,Colorado,80652,40.165764,-104.367771,,,,,,,,,,,,
Star of the West Milling Co.,2222 Verona Rd,Bad Axe,Michigan,48413,43.8620146,-82.8821498,,,,,,,,,,,,
ADM Edible Bean Specialties Inc - Kinde,4950 Railroad St,Kinde,Michigan,48445,43.9384391,-82.9957505,,,,,,,,,,,,
