State,County,"INVENTORY OF HOGS: (1,000 OR MORE HEAD)"
MONTANA,FLATHEAD,"3,000"
OKLAHOMA,LATIMER,"3,000"
WISCONSIN,COLUMBIA,"3,670"
WISCONSIN,DANE,"4,000"
MICHIGAN,MUSKEGON,"4,180"
ARKANSAS,POPE,"5,200"
WISCONSIN,DODGE,"5,900"
WISCONSIN,DUNN,"6,036"
INDIANA,LA PORTE,"6,100"
INDIANA,MARSHALL,"6,400"
INDIANA,PIKE,"6,800"
KANSAS,MARSHALL,"6,900"
NEBRASKA,HALL,"7,238"
NEW YORK,SENECA,"8,352"
ILLINOIS,VERMILION,"9,000"
NEBRASKA,LANCASTER,"9,015"
ARKANSAS,HEMPSTEAD,"9,600"
WISCONSIN,LAFAYETTE,"10,336"
KANSAS,BROWN,"10,398"
KANSAS,BARTON,"10,596"
PENNSYLVANIA,ADAMS,"10,800"
MONTANA,WHEATLAND,"10,973"
MICHIGAN,GRAND TRAVERSE,"11,000"
OHIO,GREENE,"11,000"
KANSAS,FRANKLIN,"11,300"
ILLINOIS,CHAMPAIGN,"11,350"
OHIO,FULTON,"11,351"
ILLINOIS,PEORIA,"11,400"
INDIANA,SPENCER,"11,410"
SOUTH DAKOTA,ROBERTS,"11,458"
NORTH CAROLINA,RANDOLPH,"11,553"
WISCONSIN,WALWORTH,"11,650"
PENNSYLVANIA,CHESTER,"11,730"
OHIO,PERRY,"11,940"
INDIANA,DELAWARE,"12,000"
MISSOURI,OSAGE,"12,250"
NORTH CAROLINA,FRANKLIN,"12,500"
SOUTH DAKOTA,TRIPP,"12,650"
INDIANA,WASHINGTON,"13,000"
INDIANA,FRANKLIN,"13,160"
ARKANSAS,CONWAY,"13,200"
MINNESOTA,ROSEAU,"13,200"
ILLINOIS,JEFFERSON,"13,204"
ILLINOIS,MCHENRY,"13,312"
MINNESOTA,CLAY,"13,500"
OHIO,BUTLER,"14,050"
ILLINOIS,WILL,"14,090"
NEBRASKA,WEBSTER,"14,122"
MICHIGAN,OSCEOLA,"14,400"
MISSOURI,RALLS,"14,880"
KANSAS,HARVEY,"14,900"
OHIO,LOGAN,"14,960"
MICHIGAN,TUSCOLA,"15,000"
MICHIGAN,MASON,"15,000"
OKLAHOMA,SEMINOLE,"15,000"
SOUTH DAKOTA,CODINGTON,"15,224"
PENNSYLVANIA,NORTHUMBERLAND,"15,368"
OHIO,ASHLAND,"15,400"
SOUTH DAKOTA,HAMLIN,"15,600"
OKLAHOMA,LEFLORE,"15,777"
NORTH DAKOTA,RANSOM,"15,968"
PENNSYLVANIA,SOMERSET,"15,971"
INDIANA,PERRY,"15,976"
VIRGINIA,HALIFAX,"16,000"
NEBRASKA,ARTHUR,"16,098"
INDIANA,CRAWFORD,"16,200"
MICHIGAN,CLINTON,"16,400"
ILLINOIS,STARK,"16,500"
MONTANA,LIBERTY,"16,632"
KANSAS,BUTLER,"16,800"
PENNSYLVANIA,HUNTINGDON,"16,900"
PENNSYLVANIA,COLUMBIA,"17,319"
INDIANA,BOONE,"18,000"
OHIO,UNION,"18,120"
MINNESOTA,HOUSTON,"18,400"
VIRGINIA,BUCKINGHAM,"18,610"
MINNESOTA,ISANTI,"19,000"
INDIANA,WAYNE,"19,023"
NEBRASKA,DAKOTA,"19,100"
MISSOURI,CLARK,"19,200"
NORTH CAROLINA,WARREN,"19,404"
