Pest Control Companies,street,city,state,postal_code,latitude,longitude
JP McHale Pest Management,286 Madison Ave #1300,New York,New York,10017,40.751693,-73.9803106
Home Paramount Pest Control,501 N Main St,Kernersville,North Carolina,27284,36.1267965,-80.0672954
Massey Services Pest Control,3609 W Main St,Leesburg,Florida,34748,28.8108696,-81.9221613
Massey Services Pest Control,2466 W State Rd 426,Oviedo,Florida,32765,28.6356545,-81.2370394
ABC Home & Commercial Services,8061 Marsh Rd,Clay Township,Michigan,48001,42.6656189,-82.5462226
Knox Pest Control,163 Jefferson Pkwy,Newnan,Georgia,30263,33.3985433,-84.7694224
Massey Services Pest Control,59 Skyline Dr #1300,Lake Mary,Florida,32746,28.7341081,-81.3700753
Nader's Pest Raiders,542347 US-1,Callahan,Florida,32011,30.5636413,-81.8301852
Rocky Mountain Home Improvement LLC,,,,,39.173692,-106.4448244
Massey Services Pest Control,4083 E County Rd 462,Wildwood,Florida,34785,28.8832719,-82.0359763
Massey Services Pest Control,2090 E Burleigh Blvd,Eustis,Florida,32726,28.8213489,-81.7067242
"Titanium Laboratories, Inc.",249 Satterthwaite Ave,Nutley,New Jersey,7110,40.8205852,-74.1504626
"Titanium Laboratories, Inc.",249 Satterthwaite Ave,Nutley,New Jersey,7110,40.8205852,-74.1504626
Mosquito Squad of Northcentral Wisconsin,W9630 WI-64,Antigo,Wisconsin,54409,45.1627273,-89.1311225
Massey Services Pest Control,606 Hoopfer Wy,Lady Lake,Florida,32159,28.9277815,-81.9385781
Massey Services Pest Control,3612 Parkway Blvd,Leesburg,Florida,34748,28.8099002,-81.9232957
Iron Curtain Exterminators Inc,,,,,40.4828244,-73.6705386
All-State Pest & Lawn,1220 Vermeer Cove,Cordova,Tennessee,38018,35.1587111,-89.7468295
Melrose Pest Control,849 N SR 21,Melrose,Florida,32666,29.711051,-82.044364
PermaTreat Pest & Termite Control,1255 Tappahannock Blvd #1,Tappahannock,Virginia,22560,37.9129185,-76.8610101
Southview Pest and Turf Management,827 Williams Ave,Crestview,Florida,32539,30.7467472,-86.54951
MosquitoNix Cape Fear,,,,,34.2069834,-77.8733794
The Eliminator Pest Control and Lawn Care,293 Hill St,Lyndonville,Vermont,5851,44.5325588,-71.9940762
Tomlinson Bomberger Pest Control,3055 Yellow Goose Rd,Lancaster,Pennsylvania,17601,40.0890518,-76.3905645
Bush Home Services,7363 W Fair Acres Pl,Homosassa,Florida,34448,28.7793199,-82.5562605
"MosquitoNix North Raleigh, Wake Forest, North Hills",,,,,35.8632885,-78.6305545
ABC Home & Commercial Services,1022 Mc Bride Ln,Corpus Christi,Texas,78407,27.805275,-97.461678
Solutions,100 Solutions Pkwy,Thomaston,Georgia,30286,32.9056719,-84.3020094
Entoguard Inc,194 Market St,Lewisburg,Pennsylvania,17837,40.9651843,-76.8836382
Massey Services Pest Control,1601 S US Hwy 17 92,Longwood,Florida,32750,28.6869396,-81.3298835
Entoguard Termite & Pest Control,151 N 5th St,Mifflinburg,Pennsylvania,17844,40.9181228,-77.0503598
Drake Lawn & Pest Control,601 Mason Ave,Daytona Beach,Florida,32117,29.2237766,-81.0368604
GAC Pest Control Arlington,38 Paul Revere Rd,Arlington,Massachusetts,2476,42.4231264,-71.1829874
Akin Pest Control & Lawn Care,809 E Central Ave,Comanche,Texas,76442,31.8978088,-98.5941887
Brody Brothers Pest Control in Owings Mills,11436 Cronhill Dr Unit 1,Owings Mills,Maryland,21117,39.4382611,-76.7741049
Massey Services Pest Control,12857 W Colonial Dr Suite 100,Winter Garden,Florida,34787,28.5517927,-81.572566
"MosquitoNix Kansas City, MO",,,,,38.238973,-94.3964315
Massey Services Pest Control,2860 Clarcona Rd,Apopka,Florida,32703,28.63861,-81.502432
"Southwest Va Pest Control, LLC",119 Smith Dr,Pearisburg,Virginia,24134,37.3114539,-80.7375728
"Cayce Exterminating Company, Inc",2229 Taylor Rd,Cayce,South Carolina,29033,33.9571966,-81.0714592
ProGuard Pest Services,194 Pine St,Appomattox,Virginia,24522,37.3528413,-78.8175361
Cummings Pest Solutions,5072 Gasport Rd,Gasport,New York,14067,43.1689814,-78.5747351
Patrick's Home Solutions,26610 N 150th Ave,Surprise,Arizona,85387,33.7251444,-112.3828827
Vegas Bees,612 Thrush Dr,Las Vegas,Nevada,89145,36.1648588,-115.2641792
Bush Pest Control,,Dunnellon,Florida,34432,29.0491426,-82.4609331
Mike's Termite & Pest Control,4675 LA-1,Raceland,Louisiana,70394,29.7009187,-90.5604763
"Aiken Pest Control, Inc.",2739 Wagener Rd,Aiken,South Carolina,29801,33.5496142,-81.6572082
Northeast Exterminating LLC,326 MS-12,Starkville,Mississippi,39759,33.4542345,-88.825898
Spectrum Pest Control,247 W Water St,Saxonburg,Pennsylvania,16056,40.7539792,-79.8134247
Johnson Pest Control,,,,,41.430741,-87.6200585
Adams Exterminators Inc,402 Park Ave N,Tifton,Georgia,31794,31.4574026,-83.5116952
Schendel Pest Control,625 Lincoln Way,Marshalltown,Iowa,50158,42.0424806,-92.9256678
Anchor Pest Services,136 Pleasant St,Bristol,New Hampshire,3222,43.5905098,-71.7404391
Hill's Exterminators Inc,9503 Hungarytown Rd,Crewe,Virginia,23930,37.073274,-78.1610861
"D & E Pest Solutions, LLC",,,,,46.423669,-129.9427086
EntoGuard Termite & Pest Control,601 Lenig Rd,Selinsgrove,Pennsylvania,17870,40.7342274,-76.915882
Bug Man Exterminating,,Pulaski,Virginia,24301,37.046035,-80.77849
CP Bat Mitigation,7601 S Audie Ave,Sioux Falls,South Dakota,57108,43.4755168,-96.7328278
Graves Pest Control,194 Vail Dr,Chico,California,95973,39.7680652,-121.8689627
Baron Services,5025 Lakewood Rd,Fort Mohave,Arizona,86426,35.0103252,-114.6002195
Chiltons Pest Control and Termite Springfield,1116 W Highland St,Springfield,Missouri,65807,37.1439127,-93.307203
Pure Solutions Upper Valley,,,,,43.7730685,-72.0313224
Cape Cod Tick & Mosquito,2619 State Hwy,Wellfleet,Massachusetts,2667,41.9355885,-70.0215164
Ehrlich Pest Control,705 Gompers Ave Suite 210,Indiana,Pennsylvania,15701,40.6223655,-79.1536133
Eagle Eye Pest Control,3128 Ivywood Cir,Howell,Michigan,48855,42.6450762,-83.9309355
Natural State Pest Control,223 E Monroe Ave,Lowell,Arkansas,72745,36.2535945,-94.1327682
Protect Pest Services,111 Daggett Dr,Raymond,Maine,4071,43.916884,-70.482608
"Harris Pest Control, Inc.",409 Martin Luther King Jr Ave,Kingstree,South Carolina,29556,33.6617522,-79.8204913
TruServ Pest Solutions,,,,,34.7165075,-83.487831
Apex Pest Solutions,629 Ethan Allen Hwy,Milton,Vermont,5468,44.688319,-73.1104729
Security Pest Control Inc,803 Main St,Roanoke,Alabama,36274,33.1511478,-85.3719736
Eco Systems Pest Control Inc. - A Division of Modern Pest Services,106 Longwater Dr Ste 111,Norwell,Massachusetts,2061,42.1574884,-70.8801935
Lake Norman Pest Control,552 Williamson Rd,Mooresville,North Carolina,28117,35.5711033,-80.8687796
Best in Pests Wildlife Solutions,,,,,41.5780722,-81.8614775
