state,county,1000+ Corn Growers,1000+ Hogs,1000+ Rice Growers,1000+ Wheat Growers,Corn Acres,Farms with Grain Storage,Rice Acres,Wheat Acres
Alabama,BALDWIN,5,0,1,2,0,0,0,0
Alabama,CALHOUN,3,0,0,2,0,0,0,0
Alabama,CHEROKEE,2,1,0,1,0,0,0,0
Alabama,COLBERT,16,0,0,9,0,0,0,0
Alabama,DE KALB,6,1,0,1,0,0,0,0
Alabama,ELMORE,1,0,0,1,0,0,0,0
Alabama,ESCAMBIA,4,0,0,1,0,0,0,0
Alabama,ETOWAH,3,0,0,1,0,0,0,0
Alabama,GENEVA,2,0,0,1,0,0,0,0
Alabama,HALE,1,0,0,1,0,0,0,0
Alabama,JEFFERSON,5,0,1,2,0,0,0,0
Alabama,LAUDERDALE,10,0,0,5,0,0,0,0
Alabama,LAWRENCE,19,0,0,9,0,0,0,0
Alabama,LEE,0,0,0,2,0,0,0,0
Alabama,LIMESTONE,22,0,0,14,0,0,0,0
Alabama,MADISON,26,0,0,18,0,0,0,0
Alabama,MARSHALL,3,0,0,1,0,0,0,0
Alabama,MOBILE,4,0,1,3,0,0,0,0
Alabama,MONTGOMERY,2,0,0,1,0,0,0,0
Alabama,MORGAN,3,0,1,1,0,0,0,0
Alabama,PERRY,0,0,0,1,0,0,0,0
Alabama,TALLADEGA,6,0,0,1,0,0,0,0
Alaska,ANCHORAGE,0,0,0,2,0,0,0,0
Alaska,FAIRBANKS NORTH STAR,0,0,0,1,0,0,0,0
Alaska,KENAI PENINSULA,1,0,0,1,0,0,0,0
Alaska,MATANUSKA SUSITNA,2,0,0,3,0,0,0,0
Alaska,PETERSBURG,0,0,0,1,0,0,0,0
Alaska,SITKA,0,0,0,1,0,0,0,0
Arizona,APACHE,2,0,0,1,0,0,0,0
Arizona,COCHISE,11,0,0,5,0,0,0,0
Arizona,COCONINO,3,0,0,2,0,0,0,0
Arizona,GILA,1,0,0,2,0,0,0,0
Arizona,GRAHAM,2,0,0,0,0,0,0,0
Arizona,LA PAZ,1,0,0,3,0,0,0,0
Arizona,MARICOPA,103,0,0,95,0,0,0,0
Arizona,MOHAVE,4,0,0,5,0,0,0,0
Arizona,NAVAJO,0,1,0,1,0,0,0,0
Arizona,PIMA,8,1,0,12,0,0,0,0
Arizona,PINAL,19,0,0,26,0,0,0,0
Arizona,SANTA CRUZ,0,0,0,2,0,0,0,0
Arizona,YAVAPAI,5,0,0,4,0,0,0,0
Arizona,YUMA,8,0,0,37,0,0,0,0
Arkansas,ARKANSAS,48,0,75,19,0,0,0,0
Arkansas,ASHLEY,36,0,5,4,0,0,0,0
Arkansas,BAXTER,2,0,1,1,0,0,0,0
Arkansas,BENTON,2,1,6,3,0,0,0,0
Arkansas,BOONE,2,0,0,1,0,0,0,0
Arkansas,CHICOT,36,0,16,13,0,0,0,0
Arkansas,CLAY,20,0,47,1,0,0,0,0
Arkansas,CONWAY,4,4,4,2,0,0,0,0
Arkansas,CRAIGHEAD,36,0,90,7,0,0,0,0
Arkansas,CRAWFORD,2,0,0,1,0,0,0,0
Arkansas,CRITTENDEN,14,0,27,27,0,0,0,0
Arkansas,CROSS,18,0,57,9,0,0,0,0
Arkansas,DESHA,32,0,20,5,0,0,0,0
Arkansas,FAULKNER,7,0,6,2,0,0,0,0
Arkansas,GARLAND,2,0,2,2,0,0,0,0
Arkansas,GREENE,25,0,51,2,0,0,0,0
Arkansas,INDEPENDENCE,3,0,8,3,0,0,0,0
Arkansas,JACKSON,26,0,73,18,0,0,0,0
Arkansas,JEFFERSON,32,0,39,4,0,0,0,0
Arkansas,JOHNSON,1,0,0,1,0,0,0,0
Arkansas,LAFAYETTE,11,0,1,6,0,0,0,0
Arkansas,LAWRENCE,9,0,54,2,0,0,0,0
Arkansas,LEE,28,0,20,11,0,0,0,0
Arkansas,LINCOLN,18,0,25,8,0,0,0,0
Arkansas,LITTLE RIVER,4,0,0,2,0,0,0,0
Arkansas,LOGAN,2,0,0,1,0,0,0,0
Arkansas,LONOKE,37,0,66,18,0,0,0,0
Arkansas,MILLER,10,0,6,7,0,0,0,0
Arkansas,MISSISSIPPI,54,0,41,41,0,0,0,0
Arkansas,MONROE,22,0,30,5,0,0,0,0
Arkansas,PHILLIPS,47,0,26,25,0,0,0,0
Arkansas,POINSETT,16,0,86,11,0,0,0,0
Arkansas,POPE,1,3,1,1,0,0,0,0
Arkansas,PRAIRIE,26,0,36,7,0,0,0,0
Arkansas,PULASKI,23,0,27,10,0,0,0,0
Arkansas,RANDOLPH,4,0,37,1,0,0,0,0
Arkansas,SAINT FRANCIS,13,0,18,12,0,0,0,0
Arkansas,SEVIER,1,4,0,1,0,0,0,0
Arkansas,VAN BUREN,1,0,1,1,0,0,0,0
Arkansas,WASHINGTON,8,2,4,3,0,0,0,0
Arkansas,WHITE,4,0,12,2,0,0,0,0
Arkansas,WOODRUFF,23,0,45,15,0,0,0,0
California,ALAMEDA,3,0,0,5,0,0,0,0
California,BUTTE,0,1,31,7,0,0,0,0
California,CALAVERAS,0,0,0,1,0,0,0,0
California,COLUSA,5,0,45,16,0,0,0,0
California,CONTRA COSTA,5,0,2,6,0,0,0,0
California,FRESNO,19,1,0,27,0,0,0,0
California,GLENN,5,0,22,6,0,0,0,0
California,HUMBOLDT,2,0,0,2,0,0,0,0
California,IMPERIAL,5,0,0,22,0,0,0,0
California,KERN,22,0,0,27,0,0,0,0
California,KINGS,25,0,0,25,0,0,0,0
California,LOS ANGELES,23,0,0,32,0,0,0,0
California,MADERA,12,0,0,20,0,0,0,0
California,MARIN,4,0,0,2,0,0,0,0
California,MERCED,30,0,0,32,0,0,0,0
California,MODOC,2,0,0,5,0,0,0,0
California,MONTEREY,1,0,0,7,0,0,0,0
California,NAPA,2,0,0,3,0,0,0,0
California,NEVADA,1,0,2,1,0,0,0,0
California,ORANGE,11,0,0,16,0,0,0,0
California,PLACER,2,0,2,1,0,0,0,0
California,RIVERSIDE,10,0,0,29,0,0,0,0
California,SACRAMENTO,45,0,5,10,0,0,0,0
California,SAN BERNARDINO,6,0,0,4,0,0,0,0
California,SAN DIEGO,19,1,2,19,0,0,0,0
California,SAN FRANCISCO,3,0,2,3,0,0,0,0
California,SAN JOAQUIN,44,0,2,22,0,0,0,0
California,SAN LUIS OBISPO,7,0,0,7,0,0,0,0
California,SAN MATEO,2,0,1,6,0,0,0,0
California,SANTA BARBARA,2,0,0,1,0,0,0,0
California,SANTA CLARA,8,0,0,9,0,0,0,0
California,SANTA CRUZ,2,0,0,1,0,0,0,0
California,SHASTA,1,0,3,4,0,0,0,0
California,SISKIYOU,0,0,0,3,0,0,0,0
California,SOLANO,8,0,0,15,0,0,0,0
California,SONOMA,3,0,1,2,0,0,0,0
California,STANISLAUS,19,2,1,7,0,0,0,0
California,SUTTER,5,0,43,7,0,0,0,0
California,TULARE,54,1,1,35,0,0,0,0
California,VENTURA,3,0,1,3,0,0,0,0
California,YOLO,26,0,34,49,0,0,0,0
California,YUBA,1,0,4,2,0,0,0,0
Colorado,ADAMS,30,1,0,65,0,0,0,0
Colorado,ALAMOSA,1,0,0,3,0,0,0,0
Colorado,ARAPAHOE,29,0,1,51,0,0,0,0
Colorado,BACA,31,0,0,104,0,0,0,0
Colorado,BENT,5,1,0,3,0,0,0,0
Colorado,BOULDER,20,0,0,22,0,0,0,0
Colorado,BROOMFIELD,2,0,0,6,0,0,0,0
Colorado,CHAFFEE,2,0,0,3,0,0,0,0
Colorado,CHEYENNE,17,0,0,61,0,0,0,0
Colorado,CONEJOS,1,0,0,1,0,0,0,0
Colorado,DELTA,7,0,0,1,0,0,0,0
Colorado,DENVER,36,0,3,33,0,0,0,0
Colorado,DOLORES,0,0,0,4,0,0,0,0
Colorado,DOUGLAS,18,0,1,21,0,0,0,0
Colorado,EAGLE,0,0,0,1,0,0,0,0
Colorado,EL PASO,34,0,0,32,0,0,0,0
Colorado,ELBERT,7,0,0,27,0,0,0,0
Colorado,FREMONT,2,0,0,4,0,0,0,0
Colorado,GARFIELD,1,0,0,1,0,0,0,0
Colorado,GUNNISON,2,0,0,3,0,0,0,0
Colorado,HUERFANO,1,0,0,1,0,0,0,0
Colorado,JACKSON,0,0,0,1,0,0,0,0
Colorado,JEFFERSON,24,0,0,25,0,0,0,0
Colorado,KIOWA,14,1,0,48,0,0,0,0
Colorado,KIT CARSON,114,1,0,153,0,0,0,0
Colorado,LA PLATA,0,0,2,2,0,0,0,0
Colorado,LARIMER,34,0,1,40,0,0,0,0
Colorado,LAS ANIMAS,0,0,0,2,0,0,0,0
Colorado,LINCOLN,11,0,0,54,0,0,0,0
Colorado,LOGAN,75,1,0,61,0,0,0,0
Colorado,MESA,3,0,0,4,0,0,0,0
Colorado,MOFFAT,1,0,0,8,0,0,0,0
Colorado,MONTEZUMA,0,0,0,4,0,0,0,0
Colorado,MONTROSE,4,0,0,2,0,0,0,0
Colorado,MORGAN,45,0,0,48,0,0,0,0
Colorado,OTERO,4,0,0,3,0,0,0,0
Colorado,PHILLIPS,108,1,0,68,0,0,0,0
Colorado,PITKIN,0,0,0,1,0,0,0,0
Colorado,PROWERS,14,2,0,78,0,0,0,0
Colorado,PUEBLO,8,0,0,8,0,0,0,0
Colorado,RIO BLANCO,0,0,0,2,0,0,0,0
Colorado,RIO GRANDE,2,0,0,1,0,0,0,0
Colorado,ROUTT,1,0,0,3,0,0,0,0
Colorado,SAGUACHE,2,0,0,2,0,0,0,0
Colorado,SAN MIGUEL,0,0,0,2,0,0,0,0
Colorado,SEDGWICK,43,1,0,30,0,0,0,0
Colorado,SUMMIT,0,0,0,1,0,0,0,0
Colorado,WASHINGTON,34,1,0,85,0,0,0,0
Colorado,WELD,103,0,0,96,0,0,0,0
Colorado,YUMA,175,2,0,86,0,0,0,0
Connecticut,CAPITOL,2,0,0,2,0,0,0,0
Connecticut,FAIRFIELD,6,0,2,1,0,0,0,0
Connecticut,HARTFORD,4,0,0,1,0,0,0,0
Connecticut,MIDDLESEX,0,0,0,1,0,0,0,0
Connecticut,WESTERN CT,0,0,0,1,0,0,0,0
Delaware,KENT,37,0,0,9,0,0,0,0
Delaware,NEW CASTLE,15,0,0,1,0,0,0,0
Delaware,SUSSEX,71,0,0,7,0,0,0,0
Florida,ALACHUA,2,0,0,1,0,0,0,0
Florida,BAY,2,0,0,2,0,0,0,0
Florida,BREVARD,6,0,0,5,0,0,0,0
Florida,BROWARD,7,0,1,3,0,0,0,0
Florida,CHARLOTTE,4,0,0,1,0,0,0,0
Florida,DESOTO,2,0,0,2,0,0,0,0
Florida,DUVAL,3,0,0,3,0,0,0,0
Florida,ESCAMBIA,4,0,1,1,0,0,0,0
Florida,FLAGLER,1,0,0,1,0,0,0,0
Florida,HIGHLANDS,9,0,0,1,0,0,0,0
Florida,HILLSBOROUGH,3,0,1,2,0,0,0,0
Florida,JACKSON,5,0,0,2,0,0,0,0
Florida,JEFFERSON,4,0,0,1,0,0,0,0
Florida,LAKE,5,0,0,1,0,0,0,0
Florida,LEE,14,0,0,1,0,0,0,0
Florida,LEON,2,0,0,1,0,0,0,0
Florida,LEVY,1,0,0,1,0,0,0,0
Florida,MANATEE,3,0,0,1,0,0,0,0
Florida,MARION,3,0,0,2,0,0,0,0
Florida,MIAMI-DADE,11,0,1,1,0,0,0,0
Florida,ORANGE,11,0,0,2,0,0,0,0
Florida,OSCEOLA,1,0,0,1,0,0,0,0
Florida,PALM BEACH,17,0,3,2,0,0,0,0
Florida,PINELLAS,6,0,0,1,0,0,0,0
Florida,POLK,5,0,0,2,0,0,0,0
Florida,SAINT JOHNS,2,0,0,1,0,0,0,0
Florida,SANTA ROSA,5,0,0,3,0,0,0,0
Florida,SARASOTA,9,0,0,2,0,0,0,0
Florida,SEMINOLE,2,0,0,1,0,0,0,0
Florida,SUMTER,5,0,0,1,0,0,0,0
Florida,VOLUSIA,1,0,0,1,0,0,0,0
Florida,WAKULLA,1,0,0,1,0,0,0,0
Florida,WALTON,1,0,1,2,0,0,0,0
Georgia,BLECKLEY,0,0,0,1,0,0,0,0
Georgia,BROOKS,4,1,0,1,0,0,0,0
Georgia,BULLOCH,5,0,0,3,0,0,0,0
Georgia,BURKE,10,0,0,4,0,0,0,0
Georgia,CALHOUN,6,0,0,2,0,0,0,0
Georgia,CARROLL,3,0,0,1,0,0,0,0
Georgia,CHATHAM,3,0,0,5,0,0,0,0
Georgia,CHEROKEE,0,0,0,1,0,0,0,0
Georgia,CLAYTON,0,0,0,1,0,0,0,0
Georgia,COBB,4,0,0,1,0,0,0,0
Georgia,COFFEE,8,2,0,0,0,0,0,0
Georgia,COLQUITT,5,0,0,1,0,0,0,0
Georgia,COLUMBIA,0,0,0,1,0,0,0,0
Georgia,CRAWFORD,0,0,0,1,0,0,0,0
Georgia,CRISP,1,0,0,5,0,0,0,0
Georgia,DAWSON,0,0,0,1,0,0,0,0
Georgia,DEKALB,3,0,0,1,0,0,0,0
Georgia,DOOLY,8,0,0,6,0,0,0,0
Georgia,DOUGHERTY,6,0,0,2,0,0,0,0
Georgia,EARLY,3,0,0,2,0,0,0,0
Georgia,FORSYTH,4,0,0,2,0,0,0,0
Georgia,HART,1,1,0,1,0,0,0,0
Georgia,HOUSTON,1,0,0,1,0,0,0,0
Georgia,JEFFERSON,4,0,0,3,0,0,0,0
Georgia,JOHNSON,0,0,0,1,0,0,0,0
Georgia,JONES,0,0,0,1,0,0,0,0
Georgia,LAURENS,1,0,0,1,0,0,0,0
Georgia,LEE,8,0,1,2,0,0,0,0
Georgia,MACON,3,0,0,3,0,0,0,0
Georgia,MILLER,6,0,0,1,0,0,0,0
Georgia,MORGAN,2,0,0,1,0,0,0,0
Georgia,NEWTON,0,0,0,1,0,0,0,0
Georgia,PEACH,0,0,0,1,0,0,0,0
Georgia,PICKENS,1,0,0,1,0,0,0,0
Georgia,PULASKI,1,0,0,1,0,0,0,0
Georgia,RANDOLPH,4,0,0,1,0,0,0,0
Georgia,RICHMOND,1,0,0,0,0,0,0,0
